# upstream path	class
ascent/examples/ascent_agg_clause.rs	ascent-result
ascent/examples/ascent_disjunction_clause.rs	ascent-result
ascent/examples/ascent_for_in_clause.rs	ascent-result
ascent/examples/ascent_generic_program.rs	ascent-result
ascent/examples/ascent_if_clause.rs	ascent-result
ascent/examples/ascent_if_let_clause.rs	ascent-result
ascent/examples/ascent_lattice.rs	ascent-result
ascent/examples/ascent_let_clause.rs	ascent-result
ascent/examples/ascent_macros_rule.rs	ascent-result
ascent/examples/ascent_negation_clause.rs	ascent-result
ascent/examples/ascent_source.rs	ascent-result
ascent/examples/context_sensitive_flow_graph.rs	ascent-result
ascent/examples/context_sensitive_flow_graph_with_records.rs	ascent-result
ascent/examples/def_use_chains.rs	ascent-result
ascent/examples/fibonacci.rs	ascent-result
ascent/examples/fizz_buzz.rs	ascent-result
ascent/examples/lists_using_recursive_enums.rs	ascent-result
ascent/examples/transitive_graph_closure.rs	ascent-result
ascent/examples/var_points_to.rs	ascent-result
ascent_tests/benches/benches.rs	host-benchmark
ascent_tests/src/agg_tests.rs	ascent-result
ascent_tests/src/analysis_exp.rs	host-support
ascent_tests/src/ascent_maybe_par.rs	host-support
ascent_tests/src/bin/tc.rs	ascent-result
ascent_tests/src/example_tests.rs	ascent-result
ascent_tests/src/exps.rs	host-support
ascent_tests/src/include_source_tests.rs	ascent-result
ascent_tests/src/lib.rs	host-support
ascent_tests/src/macros_tests.rs	ascent-result
ascent_tests/src/se.rs	host-support
ascent_tests/src/tests.rs	ascent-result
ascent_tests/src/utils.rs	host-support
