# fixture	family	status
agg_avg	aggregate	strict
agg_chained	aggregate	strict
agg_count	aggregate	strict
agg_count_string	aggregate	strict
agg_max	aggregate	strict
agg_min	aggregate	strict
agg_negative	aggregate	strict
agg_over_expr	aggregate	strict
agg_sum	aggregate	strict
arith_cat	arithmetic	strict
arith_chained	arithmetic	strict
arith_const_head	arithmetic	strict
arith_divide	arithmetic	strict
arith_float	arithmetic	strict
arith_minus	arithmetic	strict
arith_modulo	arithmetic	strict
arith_plus	arithmetic	strict
arith_times	arithmetic	strict
builtins	builtin	adapter
cat_paren_intern	builtin	adapter
comp_basic	component	strict
comp_inheritance	component	strict
comp_multi_head_body	component	strict
comp_nested_typeparam	component	strict
comp_override	component	strict
comp_parametric	component	strict
compare_eq	comparison	strict
compare_expr	comparison	strict
compare_gt	comparison	strict
compare_gte	comparison	strict
compare_lt	comparison	strict
compare_lte	comparison	strict
compare_neq	comparison	strict
delimiter_tab	output	strict
equijoin_tuple	join	strict
join_const_body	join	strict
join_self	join	strict
join_three_way	join	strict
join_two_way	join	strict
join_wide	join	strict
keyword_relation_names	syntax	strict
match_builtin	builtin	adapter
neg_antijoin	negation	strict
neg_constant	negation	strict
neg_filter	negation	strict
neg_multiple	negation	strict
neg_nullary	negation	strict
neg_over_idb	negation	strict
neg_stratified	negation	strict
neg_wildcard	negation	strict
output_all_types	output	strict
output_all_types_intern	output	adapter
output_limit	output	strict
output_multi_worker	output	strict
output_order_by	output	strict
probe_edb_idb_inline	recursion	strict
probe_edb_idb_recursive_only	recursion	strict
probe_edb_idb_recursive_with_nonrec	recursion	strict
recursive_intermediate	recursion	strict
recursive_max	recursion	strict
recursive_min	recursion	strict
recursive_tc	recursion	strict
rule_empty_result	rule	strict
rule_multi_head_multi_body	rule	strict
rule_nullary	rule	strict
rule_projection	rule	strict
rule_union	rule	strict
syntax_fact_only	syntax	strict
syntax_hybrid	syntax	strict
syntax_include	syntax	strict
syntax_inline_fact	syntax	strict
tuple_context_comp	tuple	strict
tuple_eq_filter	tuple	strict
tuple_hetero	tuple	strict
tuple_nested	tuple	strict
tuple_order_by	tuple	strict
tuple_pair	tuple	strict
tuple_placeholder	tuple	strict
tuple_str_intern	tuple	adapter
tuple_wide	tuple	strict
type_bool	type	strict
type_float	type	strict
type_float_crossing	type	strict
type_int	type	strict
type_int_crossing	type	strict
type_string	type	strict
type_uint	type	strict
type_uint_crossing	type	strict
type_wide_crossing	type	strict
udf_arithmetic	udf	strict
udf_comparison	udf	strict
udf_head	udf	strict
udf_in_aggregation	udf	strict
udf_nested	udf	strict
udf_predicate	udf	strict
udf_string_intern	udf	adapter
udf_types	udf	strict
