# program	upstream-kind	implementation
andersen	canonical	translated-fixture
bipartite	canonical	translated-fixture
borrow	configured-alias	translated-fixture
cc	canonical	local-recursive-aggregate
crdt	canonical	translated-fixture
crdt_slow	canonical	translated-fixture
csda	canonical	translated-fixture
cspa	canonical	translated-fixture
cvc5	canonical	translated-fixture
doop	canonical	translated-fixture
dyck	canonical	translated-fixture
galen	canonical	translated-fixture
interactive-complex-13	ldbc	local-ldbc
interactive-complex-2	ldbc	local-ldbc
pointsto	canonical	translated-fixture
polonius_int	canonical	translated-fixture
polonius_str	canonical	translated-fixture
reach	canonical	translated-fixture
sg	canonical	translated-fixture
sssp	canonical	local-recursive-aggregate
tc	canonical	translated-fixture
z3	canonical	translated-fixture
